Costumer_name,Costumer_age,Costumer_email,Costumer_address,Type_situation,Outcome_insurance,Days_to_fix,Active_user,Car_model,Year,Count_claims,Situation_Date,Costumer_id
Pietra da Conceição,22,erickda-paz@example.org,"Loteamento Lorena da Cunha, 13
Boa União 1ª Seção
10123043 Nogueira / MA",Robbery,DENIED,102,0,Ford Explorer,2015,1,2022-08-14,1
Diogo da Luz,25,eloah95@example.net,"Lagoa de Pereira, 4
Solimoes
98010-073 Pinto / AC",Robbery,DENIED,99,0,Infiniti QX50,2023,1,2022-07-17,2
Maria Eduarda Duarte,22,maria-alicemonteiro@example.com,"Rua Leandro da Mata, 3
Mantiqueira
98873299 Costela do Oeste / PR",Robbery,APPROVED,85,1,Pagani Huayra BC,2016,1,2023-11-28,3
Luna das Neves,36,gomeskamilly@example.org,"Residencial Kamilly Aragão, 56
Bela Vitoria
71651-517 Pires de Castro / SE",Collision,DENIED,7,0,Audi A4,2016,1,2023-10-24,4
Esther Santos,48,nicolascardoso@example.com,"Passarela Juan Moura, 2
Cabana Do Pai Tomás
66457482 Correia / AM",Natural Phenomena,NOT USED,2,0,Subaru Legacy,2019,1,2023-04-19,5
João Gabriel Moreira,55,ryanteixeira@example.org,"Loteamento Castro, 16
Belmonte
42886-893 Almeida de Goiás / AC",Robbery,DENIED,22,1,Koenigsegg CC,2002,1,2022-02-27,6
Sra. Luna Ferreira,49,stella49@example.com,"Trevo Otávio Martins, 54
Jaqueline
96304-221 da Paz de Teixeira / PA",Fire,NOT USED,10,0,Land Rover Defender,2023,1,2023-07-20,7
Dra. Maria Cecília da Mata,29,pmartins@example.com,"Núcleo de da Luz, 4
Conjunto Celso Machado
73279398 Dias / AP",Collision,NOT USED,68,0,Audi Q7,2017,1,2022-01-02,8
Dr. Nicolas da Costa,42,cauada-mata@example.org,"Via Maysa da Mata, 14
Engenho Nogueira
08532334 da Mata / AL",Natural Phenomena,APPROVED,5,0,Hyundai Sonata,2018 ,1,2023-11-25,9
Maria Cecília Martins,33,gnunes@example.org,"Feira Costela, 72
Santana Do Cafezal
07048141 da Mata Grande / RR",Collision,NOT USED,17,1,Toyota GR Supra,2020,1,2022-06-26,10
Raul da Paz,56,slima@example.net,"Favela Emanuelly Fernandes, 79
João Alfredo
06691-410 da Costa da Praia / RN",Collision,DENIED,84,0,Porsche Cayenne,2020,1,2022-07-13,11
Dra. Ana Barbosa,29,arthurda-costa@example.com,"Praia Lívia Ferreira, 705
Vila Petropolis
59478685 Moura / MS",Robbery,APPROVED,47,1,Rolls-Royce Phantom,2004,1,2022-10-06,12
Brenda Fogaça,40,da-luzguilherme@example.org,"Condomínio de Carvalho, 84
Varzea Da Palma
03306-381 Mendes do Campo / GO",Natural Phenomena,APPROVED,39,0,Lotus Exige,2023,1,2023-02-13,13
Eduarda Alves,58,melobeatriz@example.net,"Ladeira Silveira, 614
Tres Marias
99614907 Aragão / CE",Robbery,NOT USED,102,1,Vauxhall Mokka,2023,1,2022-08-19,14
Maria Vitória Monteiro,23,yurimendes@example.org,"Estrada Rebeca Ferreira, 2
Bom Jesus
82293369 Oliveira / AC",Natural Phenomena,DENIED,36,1,Cadillac CT5,2023,1,2022-08-28,15
Yasmin da Conceição,30,da-pazbenjamin@example.org,"Trevo Cardoso
Flavio Marques Lisboa
67220576 Barbosa da Prata / PR",Robbery,NOT USED,25,1,Toyota RAV4,2019,2,2023-08-21,16
Yasmin da Conceição,30,da-pazbenjamin@example.org,"Trevo Cardoso
Flavio Marques Lisboa
67220576 Barbosa da Prata / PR",Robbery,NOT USED,25,1,Toyota RAV4,2020,2,2022-12-07,16
Julia da Paz,68,pferreira@example.com,"Vale de Nogueira, 278
Camponesa 2ª Seção
85349012 Ramos de Martins / PB",Collision,NOT USED,69,0,Morgan Plus 4,2023,1,2022-03-10,17
Mariana Cardoso,25,brunaalves@example.net,"Viaduto Letícia Martins, 18
Madri
77038-536 Pereira / MA",Collision,APPROVED,30,0,Mazda CX-9,2019,3,2022-07-26,18
Julia Campos,41,felipecastro@example.net,"Travessa de Costela
Conjunto Floramar
90412334 Dias de Novaes / DF",Fire,DENIED,87,1,Lexus ES,1989,1,2023-05-03,19
Luana Gomes,27,luiz-feliperocha@example.org,"Vila Caldeira, 717
Aarão Reis
37830821 Cardoso / PB",Robbery,NOT USED,96,1,Alpina B3,2023,1,2023-05-04,20
Marcela Caldeira,48,henriquearaujo@example.net,"Distrito Gonçalves
Santa Efigênia
40348-308 Silva / RR",Natural Phenomena,APPROVED,91,0,Subaru Crosstrek,2019,1,2022-09-17,21
Isabelly Alves,27,isabelcardoso@example.net,"Rodovia de Dias, 19
Vila Puc
97187030 Cardoso da Prata / PI",Collision,NOT USED,29,0,Jaguar XF,2023,2,2022-04-07,22
Olivia das Neves,67,da-costamarcela@example.com,"Jardim de da Mota, 89
Vila Maloca
29311608 Campos / RS",Robbery,APPROVED,86,0,Tesla Model Y,2020,2,2022-03-09,23
Nicole Ribeiro,63,caioda-cruz@example.com,"Morro de Freitas, 89
Piratininga
21514495 da Mota dos Dourados / SC",Collision,NOT USED,84,0,Mini Cooper,2023,1,2023-02-04,24
Cauã Aragão,35,da-conceicaogabrielly@example.com,"Feira da Mata, 69
Vila Minaslandia
90292646 Freitas / SC",Collision,APPROVED,50,1,Skoda Kodiaq,2023,1,2023-05-13,25
Lucas Alves,39,cda-mota@example.org,"Aeroporto Cavalcanti
Capitão Eduardo
71001-323 Lima de Goiás / AP",Fire,APPROVED,5,0,Audi Q3,2019,1,2023-07-28,26
Luna da Cruz,41,sarahviana@example.org,"Loteamento Vitor Hugo da Costa, 67
Tupi A
66343-794 Novaes da Mata / PB",Collision,NOT USED,67,1,Lamborghini Murciélago,2001,1,2022-01-20,27
Dr. Davi da Conceição,46,ana-julia13@example.net,"Trecho Moreira, 98
Vila Santa Monica 1ª Seção
46637563 Farias / MA",Collision,APPROVED,23,0,Rivian R1T,2022,1,2023-06-21,28
